language,bin_left,bin_right,count
js,0,2,0
js,2,4,0
js,4,6,35
js,6,8,90
js,8,10,13
js,10,12,6
js,12,14,2
js,14,16,0
js,16,18,1
js,18,20,0
js,20,22,0
js,22,24,0
js,24,26,0
js,26,28,0
js,28,30,0
js,30,32,0
js,32,34,1
js,34,36,0
js,36,38,0
java,0,2,0
java,2,4,0
java,4,6,29
java,6,8,81
java,8,10,12
java,10,12,7
java,12,14,4
java,14,16,5
java,16,18,3
java,18,20,2
java,20,22,0
java,22,24,0
java,24,26,1
java,26,28,1
java,28,30,0
java,30,32,0
java,32,34,0
java,34,36,0
java,36,38,0
python,0,2,0
python,2,4,0
python,4,6,96
python,6,8,26
python,8,10,12
python,10,12,2
python,12,14,3
python,14,16,1
python,16,18,1
python,18,20,1
python,20,22,1
python,22,24,0
python,24,26,0
python,26,28,0
python,28,30,0
python,30,32,0
python,32,34,0
python,34,36,0
python,36,38,0
