language,instance_id,eval_log_present,resolved,turns,resolved_turns,log_blob_sha,trajectory_blob_sha
python,humanevalfix-python-0,True,True,5,5,c3ab2251753824b9db8361b14e78c0a757f677a1,c52a310f6f0af22feb9e91067c4ab1041de847b5
python,humanevalfix-python-1,True,True,5,5,0c444462932c9f9dd3d2e959d36e85d5603ffbcf,f88c13765fdbf2d0c8ced4043b92284d18075d73
python,humanevalfix-python-10,True,True,6,6,5333768fbabdb8f2c1f5281c5f9ecf7c3fb38102,b83205b87da2dc2b05610dd1e13512eca8a07417
python,humanevalfix-python-100,True,False,8,,ca55c72c12fcc76392d9fae136fd282e3d6ea06f,b7619396eb094a62cae7ac6b13717e005df5511d
python,humanevalfix-python-101,True,True,5,5,1d5378267ee6899f0389f7f1c518429dfd15e5e6,0545bb7994fb282ebcff6859b7527299c350a36a
python,humanevalfix-python-102,True,True,5,5,2d937f76ea277b23e66e0dce90c836a8317e8531,9e3c647a4a1f00ee239065e82ecb390929823cae
python,humanevalfix-python-103,True,True,5,5,f99cfbd62547d52402fef5da83a935430987af20,dbfd608ed87bd5e9ce64aa8f3e7b9b472b3e1d82
python,humanevalfix-python-104,True,True,6,6,6135205c17908ccf13271e250136a5382e53ef80,e4e3f79dcbe8a71027036c1a253e48d1023a1243
python,humanevalfix-python-105,True,True,5,5,5b47a8356428145e94056437e834293f1e4a1acf,1aacae6cc665e118f4b5273afa865ec604775e94
python,humanevalfix-python-106,True,True,5,5,50d07d9bbc1942ee6f7e520a40597ef3148353bf,481cf486ede6e8cec3fabae857025cf4f98391c4
python,humanevalfix-python-107,True,True,6,6,a2dd2612161e31317b06c4ac39c51e4a7ca49009,cb7a787e943fe9a62c7cd8ec9112b0e18328ef71
python,humanevalfix-python-108,True,True,6,6,bfd5e8d1c5b44ce790dec516f106940557f41369,9f905f2d5c2c3d11f0dc230ab5b903e18fdf23f0
python,humanevalfix-python-109,True,True,7,7,da2d51fb144252e9ba120db2befa251c327ca41c,f91292d908a770c211cca025ebe9335f8c569897
python,humanevalfix-python-11,True,True,5,5,584af2b06ecdb3a88bef5335330863524e43bc83,76e644318255bddb01315d03668fc98c86de8551
python,humanevalfix-python-110,True,True,5,5,0c2e7140cc82641822111ed0eda68da92bc18bfb,0e8949b99713213fced93df60a331bd27d30d43a
python,humanevalfix-python-111,True,True,8,8,f2f21d84d4af54ab8aeb7d7ffa4a711d08beaf81,5d72c52ef91d26f187ad83b6bdfa7bdca65be21b
python,humanevalfix-python-112,True,True,5,5,c3898c80871a4276e9884f9a144bc2aebc73ca0c,fef533c09fea7bd888e36e28b1f1deb8fb8e4abf
python,humanevalfix-python-113,True,False,6,,4b5a41a965e7217cc8af1edb5f8b40652235b051,f66200fa07fc72a6fe656f3448d204a6b5d87fd4
python,humanevalfix-python-114,True,True,6,6,4743c8e1263f93968c340709516ac26c4b913f59,a438dd963741417c131dc0d66a13e5b54a6d2354
python,humanevalfix-python-115,True,True,5,5,8486efb780759aa1b389b2840ecf15691d7f0b9f,bf1d0a6dd5beceb558445dc1f551529462675e3c
python,humanevalfix-python-116,True,True,10,10,aad880df411aa0efdc18f86f6e045989c0dec882,55212888a6b868fccfa0a31b275fd1842af09203
python,humanevalfix-python-117,True,True,5,5,25331a6b1e161238b365efca65958c99715742c2,a744e86db11fc872aca5748f35005cdf78598bc6
python,humanevalfix-python-118,True,True,8,8,becbcb8110874164282a409d2b2b2aa2e386b35e,6cb72c1fe4fda2bbb2186fa7cba452ca7c0d9dcc
python,humanevalfix-python-119,True,True,6,6,c39c6a4474cfb35cbbb66bcdaa2395a631bb9b9b,bff8ae4c531dc2a2482cd868db65e56eda3e1173
python,humanevalfix-python-12,True,True,5,5,8be8fd8f31a70089f998f2e58ce3c47bc222c98a,e1b84c145391db82a904b15b99eec6cfe5f0d99f
python,humanevalfix-python-120,True,False,10,,ef6e7d05ac683ea59c78ab97051027cbf46865d1,9e740164345eb4be9e58ca7679842468107a2713
python,humanevalfix-python-121,True,True,5,5,5ff8fe91397eecb8c919fcdc416dad6df9756f0b,4c0127b82f9d1210151f81221153c9c2f468d40a
python,humanevalfix-python-122,True,True,5,5,b4236f36cdf3946e1d9f8fdba8f7472cfe1ec556,6b4de99734a44f7ba76750308788ec3e617daa46
python,humanevalfix-python-123,True,True,5,5,0844ca65ab20a45243e9b47f91f2a9e356923dc6,b8c46f0f3124a6ee0e7ef677d0b43afbd7aba676
python,humanevalfix-python-124,True,True,14,14,866929e07f624b55a87b6f1b298b5f8dd374a62c,b9c353026d9c6a40f6950dca12ae8512aca44975
python,humanevalfix-python-125,True,False,5,,b5be81f0baab3b9c365b9e9731ee551d39eb0af3,386af0d8f4fc192d6b2c7e49343530c973cf3bf1
python,humanevalfix-python-126,True,False,9,,9072aaf2fe88192ea1d710b3271fc1176841b2dd,93bd279a7dbb3dfcd0d2989e5f083ee36901700d
