start_turn,end_turn,pattern,category,paper_count,observed_count,exact
1,3,create | edit | python,Reproduction,156,156,True
1,3,search_dir | open | search_file,Localization (File),21,21,True
1,3,search_dir | open | scroll_down,Localization (Line),12,12,True
1,3,create | edit | edit,Reproduction,11,11,True
1,3,search_dir | open | edit,Localization (Line),10,10,True
2,4,edit | python | find_file,Localization (File),71,71,True
2,4,edit | python | edit,Reproduction,37,37,True
2,4,edit | python | search_dir,Localization (File),26,26,True
2,4,edit | python | open,Localization (File),15,15,True
2,4,open | edit | edit,Editing,13,13,True
2,4,open | edit | create,Editing,13,13,True
2,4,open | scroll_down | scroll_down,Localization (Line),9,9,True
2,4,open | scroll_down | edit,Editing,5,5,True
2,4,open | edit | submit,Submission,5,5,True
3,5,python | find_file | open,Localization (File),61,61,True
3,5,python | edit | python,Editing,25,25,True
3,5,search_file | goto | edit,Localization (Line),24,24,True
3,5,python | search_dir | open,Localization (File),23,23,True
3,5,edit | create | edit,Editing,13,13,True
3,5,python | edit | edit,Editing,11,11,True
3,5,python | open | edit,Editing,7,7,True
3,5,python | find_file | find_file,Localization (File),7,7,True
3,5,edit | edit | submit,Submission,4,4,True
3,5,edit | edit | create,Editing,4,4,True
4,6,find_file | open | edit,Editing,28,28,True
4,6,find_file | open | search_file,Localization (Line),19,19,True
4,6,edit | edit | python,Reproduction,11,11,True
4,6,goto | edit | edit,Editing,8,8,True
4,6,find_file | open | goto,Localization (Line),8,8,True
4,6,goto | edit | submit,Submission,7,7,True
4,6,goto | edit | create,Editing,7,7,True
4,6,find_file | open | scroll_down,Localization (Line),6,6,True
4,6,scroll_down | scroll_down | edit,Localization (Line),5,5,True
4,6,find_file | find_file | open,Localization (File),5,5,True
5,7,open | search_file | goto,Localization (Line),29,29,True
5,7,open | edit | python,Editing,20,20,True
5,7,open | goto | edit,Editing,7,7,True
5,7,scroll_down | edit | submit,Submission,4,4,True
6,8,scroll_down | scroll_down | scroll_down,Localization (Line),6,6,True
6,8,search_file | goto | scroll_down,Localization (Line),4,4,True
7,9,edit | python | rm,Editing,20,20,True
7,9,goto | edit | python,Editing,12,12,True
8,10,python | rm | submit,Submission,19,19,True
8,10,search_file | goto | search_file,Localization (File),4,4,True
9,11,edit | edit | edit,Editing,18,18,True
9,11,edit | open | edit,Editing,6,6,True
9,11,goto | search_file | goto,Localization (Line),4,4,True
