turn,trajectories_reaching_turn,action,count,share_of_reaching,share_of_action_total
1,286,search_dir,50,0.17482517,0.32894737
1,286,search_file,0,0.00000000,0.00000000
1,286,find_file,55,0.19230769,0.24886878
1,286,find,0,0.00000000,0.00000000
1,286,create,178,0.62237762,0.70078740
1,286,edit,0,0.00000000,0.00000000
1,286,exit_cost,0,0.00000000,0.00000000
1,286,submit,0,0.00000000,0.00000000
1,286,open,2,0.00699301,0.00443459
1,286,scroll_up,0,0.00000000,0.00000000
1,286,scroll_down,0,0.00000000,0.00000000
1,286,goto,0,0.00000000,0.00000000
1,286,python3,0,0.00000000,0.00000000
1,286,python,0,0.00000000,0.00000000
1,286,pytest,0,0.00000000,0.00000000
2,286,search_dir,5,0.01748252,0.03289474
2,286,search_file,0,0.00000000,0.00000000
2,286,find_file,8,0.02797203,0.03619910
2,286,find,0,0.00000000,0.00000000
2,286,create,0,0.00000000,0.00000000
2,286,edit,180,0.62937063,0.13382900
2,286,exit_cost,0,0.00000000,0.00000000
2,286,submit,0,0.00000000,0.00000000
2,286,open,92,0.32167832,0.20399113
2,286,scroll_up,0,0.00000000,0.00000000
2,286,scroll_down,0,0.00000000,0.00000000
2,286,goto,0,0.00000000,0.00000000
2,286,python3,0,0.00000000,0.00000000
2,286,python,0,0.00000000,0.00000000
2,286,pytest,0,0.00000000,0.00000000
3,286,search_dir,3,0.01048951,0.01973684
3,286,search_file,30,0.10489510,0.16666667
3,286,find_file,8,0.02797203,0.03619910
3,286,find,0,0.00000000,0.00000000
3,286,create,3,0.01048951,0.01181102
3,286,edit,48,0.16783217,0.03568773
3,286,exit_cost,0,0.00000000,0.00000000
3,286,submit,0,0.00000000,0.00000000
3,286,open,14,0.04895105,0.03104213
3,286,scroll_up,0,0.00000000,0.00000000
3,286,scroll_down,16,0.05594406,0.07476636
3,286,goto,4,0.01398601,0.01860465
3,286,python3,1,0.00349650,0.50000000
3,286,python,156,0.54545455,0.25531915
3,286,pytest,1,0.00349650,0.11111111
4,286,search_dir,30,0.10489510,0.19736842
4,286,search_file,3,0.01048951,0.01666667
4,286,find_file,74,0.25874126,0.33484163
4,286,find,0,0.00000000,0.00000000
4,286,create,18,0.06293706,0.07086614
4,286,edit,74,0.25874126,0.05501859
4,286,exit_cost,0,0.00000000,0.00000000
4,286,submit,6,0.02097902,0.02255639
4,286,open,26,0.09090909,0.05764967
4,286,scroll_up,0,0.00000000,0.00000000
4,286,scroll_down,13,0.04545455,0.06074766
4,286,goto,28,0.09790210,0.13023256
4,286,python3,0,0.00000000,0.00000000
4,286,python,8,0.02797203,0.01309329
4,286,pytest,2,0.00699301,0.22222222
5,280,search_dir,9,0.03214286,0.05921053
5,280,search_file,8,0.02857143,0.04444444
5,280,find_file,14,0.05000000,0.06334842
5,280,find,1,0.00357143,0.33333333
5,280,create,8,0.02857143,0.03149606
5,280,edit,85,0.30357143,0.06319703
5,280,exit_cost,0,0.00000000,0.00000000
5,280,submit,8,0.02857143,0.03007519
5,280,open,98,0.35000000,0.21729490
5,280,scroll_up,1,0.00357143,0.02777778
5,280,scroll_down,9,0.03214286,0.04205607
5,280,goto,8,0.02857143,0.03720930
5,280,python3,0,0.00000000,0.00000000
5,280,python,28,0.10000000,0.04582651
5,280,pytest,0,0.00000000,0.00000000
6,272,search_dir,9,0.03308824,0.05921053
6,272,search_file,35,0.12867647,0.19444444
6,272,find_file,16,0.05882353,0.07239819
6,272,find,1,0.00367647,0.33333333
6,272,create,12,0.04411765,0.04724409
6,272,edit,101,0.37132353,0.07509294
6,272,exit_cost,0,0.00000000,0.00000000
6,272,submit,10,0.03676471,0.03759398
6,272,open,17,0.06250000,0.03769401
6,272,scroll_up,2,0.00735294,0.05555556
6,272,scroll_down,18,0.06617647,0.08411215
6,272,goto,16,0.05882353,0.07441860
6,272,python3,0,0.00000000,0.00000000
6,272,python,32,0.11764706,0.05237316
6,272,pytest,2,0.00735294,0.22222222
7,262,search_dir,10,0.03816794,0.06578947
7,262,search_file,4,0.01526718,0.02222222
7,262,find_file,12,0.04580153,0.05429864
7,262,find,1,0.00381679,0.33333333
7,262,create,7,0.02671756,0.02755906
7,262,edit,84,0.32061069,0.06245353
7,262,exit_cost,0,0.00000000,0.00000000
7,262,submit,9,0.03435115,0.03383459
7,262,open,24,0.09160305,0.05321508
7,262,scroll_up,4,0.01526718,0.11111111
7,262,scroll_down,13,0.04961832,0.06074766
7,262,goto,32,0.12213740,0.14883721
7,262,python3,1,0.00381679,0.50000000
7,262,python,48,0.18320611,0.07855974
7,262,pytest,1,0.00381679,0.11111111
8,253,search_dir,4,0.01581028,0.02631579
8,253,search_file,18,0.07114625,0.10000000
8,253,find_file,6,0.02371542,0.02714932
8,253,find,0,0.00000000,0.00000000
8,253,create,5,0.01976285,0.01968504
8,253,edit,86,0.33992095,0.06394052
8,253,exit_cost,0,0.00000000,0.00000000
8,253,submit,18,0.07114625,0.06766917
8,253,open,25,0.09881423,0.05543237
8,253,scroll_up,2,0.00790514,0.05555556
8,253,scroll_down,13,0.05138340,0.06074766
8,253,goto,9,0.03557312,0.04186047
8,253,python3,0,0.00000000,0.00000000
8,253,python,42,0.16600791,0.06873977
8,253,pytest,0,0.00000000,0.00000000
9,235,search_dir,3,0.01276596,0.01973684
9,235,search_file,8,0.03404255,0.04444444
9,235,find_file,5,0.02127660,0.02262443
9,235,find,0,0.00000000,0.00000000
9,235,create,1,0.00425532,0.00393701
9,235,edit,72,0.30638298,0.05353160
9,235,exit_cost,0,0.00000000,0.00000000
9,235,submit,30,0.12765957,0.11278195
9,235,open,20,0.08510638,0.04434590
9,235,scroll_up,1,0.00425532,0.02777778
9,235,scroll_down,10,0.04255319,0.04672897
9,235,goto,21,0.08936170,0.09767442
9,235,python3,0,0.00000000,0.00000000
9,235,python,41,0.17446809,0.06710311
9,235,pytest,0,0.00000000,0.00000000
10,205,search_dir,7,0.03414634,0.04605263
10,205,search_file,10,0.04878049,0.05555556
10,205,find_file,3,0.01463415,0.01357466
10,205,find,0,0.00000000,0.00000000
10,205,create,1,0.00487805,0.00393701
10,205,edit,65,0.31707317,0.04832714
10,205,exit_cost,0,0.00000000,0.00000000
10,205,submit,29,0.14146341,0.10902256
10,205,open,14,0.06829268,0.03104213
10,205,scroll_up,3,0.01463415,0.08333333
10,205,scroll_down,9,0.04390244,0.04205607
10,205,goto,11,0.05365854,0.05116279
10,205,python3,0,0.00000000,0.00000000
10,205,python,30,0.14634146,0.04909984
10,205,pytest,0,0.00000000,0.00000000
11,176,search_dir,4,0.02272727,0.02631579
11,176,search_file,5,0.02840909,0.02777778
11,176,find_file,1,0.00568182,0.00452489
11,176,find,0,0.00000000,0.00000000
11,176,create,2,0.01136364,0.00787402
11,176,edit,59,0.33522727,0.04386617
11,176,exit_cost,0,0.00000000,0.00000000
11,176,submit,25,0.14204545,0.09398496
11,176,open,12,0.06818182,0.02660754
11,176,scroll_up,4,0.02272727,0.11111111
11,176,scroll_down,13,0.07386364,0.06074766
11,176,goto,8,0.04545455,0.03720930
11,176,python3,0,0.00000000,0.00000000
11,176,python,27,0.15340909,0.04418985
11,176,pytest,0,0.00000000,0.00000000
12,151,search_dir,4,0.02649007,0.02631579
12,151,search_file,9,0.05960265,0.05000000
12,151,find_file,4,0.02649007,0.01809955
12,151,find,0,0.00000000,0.00000000
12,151,create,4,0.02649007,0.01574803
12,151,edit,46,0.30463576,0.03420074
12,151,exit_cost,0,0.00000000,0.00000000
12,151,submit,18,0.11920530,0.06766917
12,151,open,9,0.05960265,0.01995565
12,151,scroll_up,3,0.01986755,0.08333333
12,151,scroll_down,11,0.07284768,0.05140187
12,151,goto,6,0.03973510,0.02790698
12,151,python3,0,0.00000000,0.00000000
12,151,python,23,0.15231788,0.03764321
12,151,pytest,0,0.00000000,0.00000000
13,133,search_dir,1,0.00751880,0.00657895
13,133,search_file,3,0.02255639,0.01666667
13,133,find_file,1,0.00751880,0.00452489
13,133,find,0,0.00000000,0.00000000
13,133,create,5,0.03759398,0.01968504
13,133,edit,46,0.34586466,0.03420074
13,133,exit_cost,0,0.00000000,0.00000000
13,133,submit,12,0.09022556,0.04511278
13,133,open,15,0.11278195,0.03325942
13,133,scroll_up,3,0.02255639,0.08333333
13,133,scroll_down,12,0.09022556,0.05607477
13,133,goto,10,0.07518797,0.04651163
13,133,python3,0,0.00000000,0.00000000
13,133,python,12,0.09022556,0.01963993
13,133,pytest,1,0.00751880,0.11111111
14,121,search_dir,1,0.00826446,0.00657895
14,121,search_file,6,0.04958678,0.03333333
14,121,find_file,2,0.01652893,0.00904977
14,121,find,0,0.00000000,0.00000000
14,121,create,0,0.00000000,0.00000000
14,121,edit,45,0.37190083,0.03345725
14,121,exit_cost,0,0.00000000,0.00000000
14,121,submit,10,0.08264463,0.03759398
14,121,open,10,0.08264463,0.02217295
14,121,scroll_up,3,0.02479339,0.08333333
14,121,scroll_down,11,0.09090909,0.05140187
14,121,goto,7,0.05785124,0.03255814
14,121,python3,0,0.00000000,0.00000000
14,121,python,19,0.15702479,0.03109656
14,121,pytest,0,0.00000000,0.00000000
15,111,search_dir,1,0.00900901,0.00657895
15,111,search_file,3,0.02702703,0.01666667
15,111,find_file,2,0.01801802,0.00904977
15,111,find,0,0.00000000,0.00000000
15,111,create,3,0.02702703,0.01181102
15,111,edit,43,0.38738739,0.03197026
15,111,exit_cost,0,0.00000000,0.00000000
15,111,submit,13,0.11711712,0.04887218
15,111,open,6,0.05405405,0.01330377
15,111,scroll_up,3,0.02702703,0.08333333
15,111,scroll_down,6,0.05405405,0.02803738
15,111,goto,7,0.06306306,0.03255814
15,111,python3,0,0.00000000,0.00000000
15,111,python,15,0.13513514,0.02454992
15,111,pytest,0,0.00000000,0.00000000
16,98,search_dir,0,0.00000000,0.00000000
16,98,search_file,4,0.04081633,0.02222222
