failed_edits_in_row,successful_recoveries,eligible_sequences,probability,paper_probability,paper_probability_exact_at_reported_precision
0,6985,7736,0.90292141,0.905,False
1,1150,2009,0.57242409,0.572,True
2,479,944,0.50741525,,
3,288,627,0.45933014,,
4,181,449,0.40311804,,
5,126,366,0.34426230,,
6,90,304,0.29605263,,
7,61,252,0.24206349,,
8,37,214,0.17289720,,
9,30,191,0.15706806,,
10,23,178,0.12921348,,
11,17,168,0.10119048,,
12,12,155,0.07741935,,
13,10,150,0.06666667,,
14,8,144,0.05555556,,
15,5,139,0.03597122,,
16,4,126,0.03174603,,
17,2,117,0.01709402,,
18,2,105,0.01904762,,
19,2,99,0.02020202,,
20,2,90,0.02222222,,
21,2,83,0.02409639,,
22,0,74,0.00000000,,
23,0,66,0.00000000,,
24,0,62,0.00000000,,
25,0,54,0.00000000,,
26,0,46,0.00000000,,
27,0,36,0.00000000,,
28,0,28,0.00000000,,
29,0,20,0.00000000,,
30,0,14,0.00000000,,
31,0,9,0.00000000,,
32,0,8,0.00000000,,
33,0,4,0.00000000,,
