model,source,outcome,metric,input_patch_lines,p90,kept_at_or_below_p90,median,mean,paper_median,paper_mean,exact
gpt4,prediction,resolved,lines_added,286,28.00000000,258,3.0000,5.6977,3.00,5.70,True
gpt4,prediction,resolved,lines_removed,286,4.00000000,261,1.0000,1.3218,1.00,1.32,True
gpt4,prediction,resolved,num_hunks,286,3.00000000,278,1.0000,1.5180,1.00,1.52,True
gpt4,prediction,resolved,num_files,286,2.00000000,266,1.0000,1.2180,1.00,1.22,True
gpt4,prediction,all,lines_added,2129,60.00000000,1920,12.0000,16.5818,12.00,16.58,True
gpt4,prediction,all,lines_removed,2129,7.00000000,1937,1.0000,1.3521,1.00,1.35,True
gpt4,prediction,all,num_hunks,2129,4.00000000,1991,2.0000,1.8307,2.00,1.83,True
gpt4,prediction,all,num_files,2129,3.00000000,1990,1.0000,1.5256,1.00,1.53,True
gpt4,gold,resolved,lines_added,286,13.50000000,257,2.0000,3.5759,2.00,3.58,True
gpt4,gold,resolved,lines_removed,286,8.00000000,261,1.0000,1.9808,1.00,1.98,True
gpt4,gold,resolved,num_hunks,286,3.00000000,261,1.0000,1.3027,1.00,1.30,True
gpt4,gold,resolved,num_files,286,1.00000000,267,1.0000,1.0000,1.00,1.00,True
gpt4,gold,all,lines_added,2129,51.00000000,1920,7.0000,11.6703,7.00,11.67,True
gpt4,gold,all,lines_removed,2129,22.00000000,1927,2.0000,4.0467,2.00,4.05,True
gpt4,gold,all,num_hunks,2129,8.00000000,1942,2.0000,2.4501,2.00,2.45,True
gpt4,gold,all,num_files,2129,3.00000000,1994,1.0000,1.2407,1.00,1.24,True
claude3opus,prediction,resolved,lines_added,241,19.00000000,218,3.0000,5.0917,3.00,5.09,True
claude3opus,prediction,resolved,lines_removed,241,4.00000000,222,1.0000,1.5946,1.00,1.59,True
claude3opus,prediction,resolved,num_hunks,241,3.00000000,225,1.0000,1.5556,1.00,1.56,True
claude3opus,prediction,resolved,num_files,241,2.00000000,218,1.0000,1.2615,1.00,1.26,True
claude3opus,prediction,all,lines_added,2343,64.80000000,2108,11.0000,15.2453,11.00,15.25,True
claude3opus,prediction,all,lines_removed,2343,9.00000000,2164,1.0000,1.7874,1.00,1.79,True
claude3opus,prediction,all,num_hunks,2343,6.00000000,2110,2.0000,2.1403,2.00,2.14,True
claude3opus,prediction,all,num_files,2343,8.00000000,2117,2.0000,1.8677,2.00,1.87,True
claude3opus,gold,resolved,lines_added,241,11.00000000,221,3.0000,3.9095,3.00,3.91,True
claude3opus,gold,resolved,lines_removed,241,9.00000000,217,1.0000,1.9355,1.00,1.94,True
claude3opus,gold,resolved,num_hunks,241,3.00000000,221,1.0000,1.3982,1.00,1.40,True
claude3opus,gold,resolved,num_files,241,1.00000000,225,1.0000,1.0000,1.00,1.00,True
claude3opus,gold,all,lines_added,2343,47.00000000,2116,6.0000,10.6843,6.00,10.68,True
claude3opus,gold,all,lines_removed,2343,20.00000000,2116,2.0000,3.6092,2.00,3.61,True
claude3opus,gold,all,num_hunks,2343,7.00000000,2119,2.0000,2.2213,2.00,2.22,True
claude3opus,gold,all,num_files,2343,2.00000000,2110,1.0000,1.1299,1.00,1.13,True
