repository,total,run,resolved,percent,paper_percent,exact
astropy/astropy,6,sweagent_gpt4,1,16.67,16.67,True
astropy/astropy,6,sweagent_claude3opus,2,33.33,33.33,True
astropy/astropy,6,rag_gpt4,0,0.00,0.00,True
astropy/astropy,6,rag_claude3opus,0,0.00,0.00,True
astropy/astropy,6,rag_claude2,0,0.00,0.00,True
django/django,114,sweagent_gpt4,30,26.32,26.32,True
django/django,114,sweagent_claude3opus,19,16.67,16.67,True
django/django,114,rag_gpt4,5,4.39,4.39,True
django/django,114,rag_claude3opus,7,6.14,6.14,True
django/django,114,rag_claude2,6,5.26,5.26,True
matplotlib/matplotlib,23,sweagent_gpt4,3,13.04,13.04,True
matplotlib/matplotlib,23,sweagent_claude3opus,3,13.04,13.04,True
matplotlib/matplotlib,23,rag_gpt4,0,0.00,0.00,True
matplotlib/matplotlib,23,rag_claude3opus,0,0.00,0.00,True
matplotlib/matplotlib,23,rag_claude2,0,0.00,0.00,True
mwaskom/seaborn,4,sweagent_gpt4,1,25.00,25.00,True
mwaskom/seaborn,4,sweagent_claude3opus,0,0.00,0.00,True
mwaskom/seaborn,4,rag_gpt4,1,25.00,25.00,True
mwaskom/seaborn,4,rag_claude3opus,1,25.00,25.00,True
mwaskom/seaborn,4,rag_claude2,0,0.00,0.00,True
pallets/flask,3,sweagent_gpt4,0,0.00,0.00,True
pallets/flask,3,sweagent_claude3opus,0,0.00,0.00,True
pallets/flask,3,rag_gpt4,0,0.00,0.00,True
pallets/flask,3,rag_claude3opus,0,0.00,0.00,True
pallets/flask,3,rag_claude2,0,0.00,0.00,True
psf/requests,6,sweagent_gpt4,2,33.33,33.33,True
psf/requests,6,sweagent_claude3opus,1,16.67,16.67,True
psf/requests,6,rag_gpt4,0,0.00,0.00,True
psf/requests,6,rag_claude3opus,0,0.00,0.00,True
psf/requests,6,rag_claude2,0,0.00,0.00,True
pydata/xarray,5,sweagent_gpt4,0,0.00,0.00,True
pydata/xarray,5,sweagent_claude3opus,0,0.00,0.00,True
pydata/xarray,5,rag_gpt4,1,20.00,20.00,True
pydata/xarray,5,rag_claude3opus,1,20.00,20.00,True
pydata/xarray,5,rag_claude2,0,0.00,0.00,True
pylint-dev/pylint,6,sweagent_gpt4,1,16.67,16.67,True
pylint-dev/pylint,6,sweagent_claude3opus,0,0.00,0.00,True
pylint-dev/pylint,6,rag_gpt4,0,0.00,0.00,True
pylint-dev/pylint,6,rag_claude3opus,0,0.00,0.00,True
pylint-dev/pylint,6,rag_claude2,0,0.00,0.00,True
pytest-dev/pytest,17,sweagent_gpt4,3,17.65,17.65,True
pytest-dev/pytest,17,sweagent_claude3opus,1,5.88,5.88,True
pytest-dev/pytest,17,rag_gpt4,0,0.00,0.00,True
pytest-dev/pytest,17,rag_claude3opus,1,5.88,5.88,True
pytest-dev/pytest,17,rag_claude2,1,5.88,5.88,True
scikit-learn/scikit-learn,23,sweagent_gpt4,4,17.39,17.39,True
scikit-learn/scikit-learn,23,sweagent_claude3opus,4,17.39,17.39,True
scikit-learn/scikit-learn,23,rag_gpt4,0,0.00,0.00,True
scikit-learn/scikit-learn,23,rag_claude3opus,1,4.35,4.35,True
scikit-learn/scikit-learn,23,rag_claude2,2,8.70,8.70,True
sphinx-doc/sphinx,16,sweagent_gpt4,1,6.25,6.25,True
sphinx-doc/sphinx,16,sweagent_claude3opus,1,6.25,6.25,True
sphinx-doc/sphinx,16,rag_gpt4,0,0.00,0.00,True
sphinx-doc/sphinx,16,rag_claude3opus,0,0.00,0.00,True
sphinx-doc/sphinx,16,rag_claude2,0,0.00,0.00,True
sympy/sympy,77,sweagent_gpt4,8,10.39,10.39,True
sympy/sympy,77,sweagent_claude3opus,4,5.19,5.19,True
sympy/sympy,77,rag_gpt4,1,1.30,1.30,True
sympy/sympy,77,rag_claude3opus,2,2.60,2.60,True
sympy/sympy,77,rag_claude2,0,0.00,0.00,True
