year_bucket,total,run,resolved,percent,paper_percent,exact
2023,30,sweagent_gpt4,7,23.33,23.33,True
2023,30,sweagent_claude3opus,4,13.33,13.33,True
2023,30,rag_gpt4,1,3.33,3.33,True
2023,30,rag_claude3opus,1,3.33,3.33,True
2023,30,rag_claude2,0,0.00,0.00,True
2022,57,sweagent_gpt4,12,21.05,21.05,True
2022,57,sweagent_claude3opus,10,17.54,17.54,True
2022,57,rag_gpt4,3,5.26,5.26,True
2022,57,rag_claude3opus,4,7.02,7.02,True
2022,57,rag_claude2,1,1.75,1.75,True
2021,42,sweagent_gpt4,10,23.81,23.81,True
2021,42,sweagent_claude3opus,5,11.90,11.90,True
2021,42,rag_gpt4,1,2.38,2.38,True
2021,42,rag_claude3opus,2,4.76,4.76,True
2021,42,rag_claude2,1,2.38,2.38,True
2020,66,sweagent_gpt4,7,10.61,10.61,True
2020,66,sweagent_claude3opus,5,7.58,7.58,True
2020,66,rag_gpt4,2,3.03,3.03,True
2020,66,rag_claude3opus,1,1.52,1.52,True
2020,66,rag_claude2,1,1.52,1.52,True
Before 2020,105,sweagent_gpt4,18,17.14,17.14,True
Before 2020,105,sweagent_claude3opus,11,10.48,10.48,True
Before 2020,105,rag_gpt4,1,0.95,0.95,True
Before 2020,105,rag_claude3opus,5,4.76,4.76,True
Before 2020,105,rag_claude2,6,5.71,5.71,True
