run,split,instance_id,resolved,steps,cost_usd,exit_status,failed_edits
20240402_sweagent_gpt4,full,astropy__astropy-11693,False,17,2.42689000,submitted,2
20240402_sweagent_gpt4,full,astropy__astropy-12057,False,10,1.08037000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-12318,False,34,4.09467000,submitted (exit_cost),25
20240402_sweagent_gpt4,full,astropy__astropy-12544,False,32,4.07101000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,astropy__astropy-12825,False,10,0.93109000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-12842,False,9,1.12322000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-12880,False,33,4.09402000,submitted (exit_cost),2
20240402_sweagent_gpt4,full,astropy__astropy-12891,False,14,1.49239000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-12907,False,36,4.09958000,submitted (exit_cost),23
20240402_sweagent_gpt4,full,astropy__astropy-12962,False,14,1.52116000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-13032,False,30,4.04906000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,astropy__astropy-13033,False,14,1.40173000,submitted,1
20240402_sweagent_gpt4,full,astropy__astropy-13068,False,33,4.15125000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,astropy__astropy-13073,False,8,0.75261000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-13075,False,7,0.71301000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-13132,False,30,4.04663000,submitted (exit_cost),5
20240402_sweagent_gpt4,full,astropy__astropy-13158,False,19,2.42484000,submitted,3
20240402_sweagent_gpt4,full,astropy__astropy-13162,False,21,2.34660000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-13234,False,12,1.41117000,submitted,1
20240402_sweagent_gpt4,full,astropy__astropy-13236,False,8,0.80762000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-13306,False,18,2.43375000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-13390,False,19,2.65677000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-13398,False,24,3.50202000,submitted,1
20240402_sweagent_gpt4,full,astropy__astropy-13404,False,32,4.09556000,submitted (exit_cost),1
20240402_sweagent_gpt4,full,astropy__astropy-13417,False,23,3.21336000,submitted,9
20240402_sweagent_gpt4,full,astropy__astropy-13438,False,5,0.39905000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-13453,False,21,2.78275000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-13462,False,15,1.58454000,submitted,1
20240402_sweagent_gpt4,full,astropy__astropy-13465,False,29,3.58183000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-13469,False,11,1.02399000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-13477,False,10,1.01455000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-13572,True,21,2.37119000,submitted,2
20240402_sweagent_gpt4,full,astropy__astropy-13579,False,32,4.11377000,submitted (exit_cost),1
20240402_sweagent_gpt4,full,astropy__astropy-13638,False,15,1.46509000,submitted,1
20240402_sweagent_gpt4,full,astropy__astropy-13668,False,11,1.30545000,submitted,1
20240402_sweagent_gpt4,full,astropy__astropy-13731,False,29,4.06326000,submitted (exit_cost),7
20240402_sweagent_gpt4,full,astropy__astropy-13734,False,35,4.08385000,submitted (exit_cost),19
20240402_sweagent_gpt4,full,astropy__astropy-13745,False,30,4.12454000,submitted (exit_cost),24
20240402_sweagent_gpt4,full,astropy__astropy-13803,True,11,1.09101000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-13838,False,17,2.57299000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-13842,False,24,3.42907000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-13933,False,36,4.05965000,submitted (exit_cost),2
20240402_sweagent_gpt4,full,astropy__astropy-13977,False,24,2.85236000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-14042,False,13,1.24197000,submitted,2
20240402_sweagent_gpt4,full,astropy__astropy-14096,False,36,4.04608000,submitted (exit_cost),29
20240402_sweagent_gpt4,full,astropy__astropy-14163,False,31,4.12055000,submitted (exit_cost),1
20240402_sweagent_gpt4,full,astropy__astropy-14182,False,33,4.02288000,submitted (exit_cost),2
20240402_sweagent_gpt4,full,astropy__astropy-14213,False,29,4.16670000,submitted (exit_cost),15
20240402_sweagent_gpt4,full,astropy__astropy-14253,False,28,4.06743000,submitted (exit_cost),5
20240402_sweagent_gpt4,full,astropy__astropy-14295,False,17,2.08417000,submitted,1
20240402_sweagent_gpt4,full,astropy__astropy-14309,True,9,0.85447000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-14365,False,10,0.90161000,submitted,1
20240402_sweagent_gpt4,full,astropy__astropy-14369,False,34,4.05174000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,astropy__astropy-14371,False,9,0.90676000,submitted,1
20240402_sweagent_gpt4,full,astropy__astropy-14379,False,17,1.72648000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-14413,False,16,1.67208000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-14439,False,31,4.08095000,submitted (exit_cost),0
20240402_sweagent_gpt4,full,astropy__astropy-14484,False,20,2.22803000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-14508,False,12,1.14244000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-14528,False,16,1.72949000,submitted,0
20240402_sweagent_gpt4,full,astropy__astropy-14539,False,32,4.10751000,submitted (exit_cost),7
20240402_sweagent_gpt4,full,astropy__astropy-14566,False,35,4.12425000,submitted (exit_cost),0
